date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster
26/6/2021,Malaysia,5803,10,5193,60647,2060
27/6/2021,Malaysia,5586,3,4777,61396,2131
28/6/2021,Malaysia,5218,7,4744,61813,1770
29/6/2021,Malaysia,6437,14,5298,62845,2351
30/6/2021,Malaysia,6276,16,4929,64130,1685
1/7/2021,Malaysia,6988,5,5580,65454,2268
2/7/2021,Malaysia,6982,3,6278,66085,2198
3/7/2021,Malaysia,6658,11,5677,66959,1917
4/7/2021,Malaysia,6045,20,5271,67670,1799
5/7/2021,Malaysia,6387,26,4532,69448,1947
6/7/2021,Malaysia,7654,11,4797,72202,2463
7/7/2021,Malaysia,7097,26,4863,74345,2106
8/7/2021,Malaysia,8868,10,5802,77276,2704
9/7/2021,Malaysia,9180,7,5713,80666,2343
10/7/2021,Malaysia,9353,11,5910,84022,3016
11/7/2021,Malaysia,9105,18,5194,87843,2199
12/7/2021,Malaysia,8574,40,5041,91273,1843
13/7/2021,Malaysia,11079,27,5990,96237,2700
14/7/2021,Malaysia,11618,26,6377,101360,2304
15/7/2021,Malaysia,13215,13,6095,108370,2828
16/7/2021,Malaysia,12541,16,6742,114054,2785
17/7/2021,Malaysia,12528,19,6629,119815,3206
18/7/2021,Malaysia,10710,12,5778,124594,2164
19/7/2021,Malaysia,10972,48,6439,128998,2480
20/7/2021,Malaysia,12366,8,7567,133704,2650
21/7/2021,Malaysia,11985,7,7902,137588,2149
22/7/2021,Malaysia,13034,25,8436,142052,2589
23/7/2021,Malaysia,15573,32,10094,147387,2214
24/7/2021,Malaysia,15902,26,9471,153634,2922
25/7/2021,Malaysia,17045,6,9683,160904,3134
26/7/2021,Malaysia,14516,3,9371,165842,2902
27/7/2021,Malaysia,16117,26,11526,170226,2958
28/7/2021,Malaysia,17405,6,12373,175115,2951
29/7/2021,Malaysia,17170,32,12930,179181,2423
30/7/2021,Malaysia,16840,17,12179,183708,3075
31/7/2021,Malaysia,17786,9,11718,189611,3046
1/8/2021,Malaysia,17150,1,11326,195275,3000
2/8/2021,Malaysia,15764,6,11767,199053,2625
3/8/2021,Malaysia,17105,37,12297,203666,2400
4/8/2021,Malaysia,19819,23,12704,210524,2953
